star_name,gaiadr3,logRHK,S_Value,vsini,age,e_vsini
TIC 19631691,3402798414192387328,-4.85,0.19,0.3,11.6,0.5
TIC 310872966,215395053733297024,-4.98,0.18,0.5,12.7,0.5
TIC 140282069,2902205991429301888,-4.84,0.19,1.2,5.4,0.5
TIC 311063391,263916708025623680,-4.56,0.37,3.0,4.1,0.5
TIC 138350803,552477109464650752,-4.29,0.5,4.4,2.4,0.5
TIC 200093173,3219847066672970368,-5.03,0.16,3.7,3.9,0.5
TIC 32869782,2915523482424724224,-4.43,0.32,6.3,1.0,0.5
TIC 176521059,3023711269067191296,-4.95,0.17,0.1,4.0,0.5
TIC 114776214,3399063235755057792,-4.54,0.28,8.9,0.8,0.5
TIC 91928222,3346787986201584896,-5.06,0.15,1.1,7.5,0.5
TIC 39543054,3022685626580347392,-5.08,0.15,0.1,8.5,0.5
TIC 440489582,961428192989499904,-4.68,0.22,6.4,0.9,0.5
TIC 153289168,3319126988068404096,-4.98,0.16,0.1,2.8,0.5
TIC 468874310,1107458592882148096,-5.02,0.16,1.3,10.7,0.5
TIC 59846132,2937506911753275008,-5.1,0.14,0.5,4.0,0.5
TIC 59545062,3369088315397965056,-4.99,0.16,0.1,5.8,0.5
TIC 251216282,3118688251708604928,-5.1,0.15,1.4,3.0,0.5
TIC 49831913,2898239468873596800,-4.93,0.17,0.8,2.5,0.5
TIC 42334982,3118434397663311360,-4.98,0.16,5.3,5.0,0.5
TIC 206680304,3330686669209149824,-5.05,0.15,0.1,2.6,0.5
TIC 48622550,2899947933845777920,-5.0,0.15,6.1,3.5,0.5
TIC 144132551,955758320761687680,-5.1,0.15,2.3,7.5,0.5
TIC 234928947,3131777319158581376,-4.91,0.2,1.3,13.4,0.5
TIC 220204291,3326573774163806336,-5.02,0.16,2.3,3.1,0.5
TIC 172734582,2918894859953947392,-4.99,0.16,0.1,6.4,0.5
TIC 307754027,952326504452337792,-5.0,0.16,3.8,2.5,0.5
TIC 21267079,951427000863064192,-4.85,0.2,2.0,4.9,0.5
TIC 53175558,5579783574073770112,-5.08,0.15,3.8,3.0,0.5
TIC 53688090,5609058277323483392,-5.14,0.14,2.1,9.1,0.5
TIC 123838254,3050309864100076544,-4.93,0.17,3.5,2.7,0.5
TIC 80224448,3380479015342121600,-4.96,0.16,2.3,1.9,0.5
TIC 80226651,3381727613874753536,-5.0,0.16,0.1,4.7,0.5
TIC 301780349,3113909602378333056,-5.06,0.15,1.5,6.1,0.5
TIC 58853031,3379989457790428416,-4.85,0.18,0.9,7.9,0.5
TIC 268565917,3101382419728401408,-5.1,0.14,3.6,2.9,0.5
TIC 270889166,3153772873178431744,-4.65,0.32,1.7,8.2,0.5
TIC 91686663,887822001246832384,-5.0,0.16,0.1,5.1,0.5
TIC 295742782,3033005406506033664,-4.91,0.17,0.1,5.4,0.5
TIC 284620820,3111942885310862848,-4.96,0.16,0.0,3.3,0.5
TIC 60847893,3362649918901844608,-4.98,0.17,1.8,6.1,0.5
TIC 16045498,898639447612575104,-4.52,0.42,1.9,3.3,0.5
TIC 7131321,3054448838181163520,-4.41,0.57,4.1,8.7,0.5
TIC 66100263,3057712223051571200,-4.44,0.52,1.6,7.4,0.5
TIC 171523537,876370076542359936,-4.98,0.17,0.1,13.3,0.5
TIC 154234114,5596797039059063680,-4.94,0.17,1.2,2.6,0.5
TIC 71520610,1122811657854754560,-4.93,0.17,0.1,6.3,0.5
TIC 97255459,681096777089578112,-5.05,0.16,1.1,2.5,0.5
TIC 165852811,902007870203594880,-4.91,0.18,0.1,10.6,0.5
TIC 27549653,656546537868692480,-5.02,0.16,1.8,3.8,0.5
TIC 145972795,5548164986925169024,-4.89,0.18,1.8,2.3,0.5
TIC 307624961,5726982995343100928,-4.97,0.17,0.5,7.5,0.5
TIC 302188141,683184784030475520,-5.23,0.13,0.2,3.2,0.5
TIC 6953932,656046844193198848,-5.05,0.15,0.1,1.5,0.5
TIC 270205941,5644325284591298688,-5.0,0.16,0.6,4.1,0.5
TIC 169108295,3065191272937568896,-5.06,0.15,1.7,3.1,0.5
TIC 282854588,1027330446055197952,-5.04,0.15,0.1,5.1,0.5
TIC 393844873,5640565607657897728,-4.93,0.18,0.2,11.3,0.5
TIC 121286109,3073562610873679872,-4.59,0.32,2.2,4.5,0.5
TIC 332064670,704967037090946688,-4.98,0.18,1.7,7.9,0.5
TIC 188503588,717094512905486976,-4.43,0.41,4.7,6.2,0.5
TIC 283786963,584923525799308160,-5.13,0.14,1.9,6.1,0.5
TIC 355127594,714116137767540096,-4.7,0.22,2.5,1.3,0.5
TIC 290553722,3844124407140189440,-5.06,0.16,1.0,11.6,0.5
TIC 405485269,5691782130578684544,-4.95,0.17,0.2,2.0,0.5
TIC 32820141,5424836719001215360,-4.92,0.19,2.0,6.1,0.5
TIC 11310083,5663558453071724288,-5.03,0.15,4.3,2.6,0.5
