,star_name,TSS_tier,ra,dec,Teff,sy_dist,sy_vmag,Age,vsini_adopt,S_index_adopt,RHK_adopt,RHK_calculated_marvin23,prot_adopt,r_prot_adopt,act_cycle_adopt,phot_jitter_adopt
7441,TIC 175407829,3,205.02971539446,-4.18610670045,3802.0,15.096635818481444,9.589,,,0.928,,-4.616163614426279,,nan,,
7442,TIC 342729629,3,205.03508434858,-66.33930827705,4145.71,34.624881744384766,10.49,,,,,,,nan,,
7443,TIC 458453613,3,205.03675895322,43.77729519153,3303.0,17.247900009155273,12.75,,,,,,,nan,,
7444,TIC 286946484,2,205.09680149391,50.51941560185,6171.0,25.50424575805664,6.32,3.736,12.0,0.313,-4.34,-4.1397650207181735,,nan,,
7445,TIC 286946486,3,205.10216238039,50.51599190595,4010.93,25.44250106811523,10.22,10.463,,,,,,nan,,
7446,TIC 105658282,3,205.1235981323,32.83587876815,6155.0,47.172760009765625,7.72,3.229,3.0,,,,3.974976,fetherolf24,,185.474772
7447,TIC 101966362,3,205.18973793017,-31.17076261121,3592.0,42.980411529541016,12.513,,,,,,,nan,,
7448,TIC 289984622,3,205.23465883981,-54.81985349314,5772.0,45.47833251953125,8.43,1.98,4.0,,,,9.000607,fetherolf24,,253.621843
7449,TIC 101969923,2,205.26737885326,-34.46415814327,5224.0,15.685561180114746,6.92,,5.6,0.53,-4.398,-4.1779067837080435,9.41,mittag17,,
7450,TIC 141816239,3,205.30585420496,56.72717282445,5206.0,23.88263511657715,7.78,,2.3,,,,11.840546,fetherolf24,,133.313213
7451,TIC 332299777,3,205.3652,48.9127,3260.0,34.0919,12.98,,,,,,,nan,,
