hpic_name,TICID,period_rot(d),period_rot_err(dd),amp_median(%)
TIC 152109597,152109597,15.4969,1.3667,0.3194
TIC 375058105,375058105,8.8659,0.0805,0.7255
TIC 367318351,367318351,15.0226,0.6426,0.3038
TIC 218352674,218352674,2.0968,0.0141,1.7732
TIC 47833455,47833455,14.6908,1.2295,0.076
TIC 260355239,260355239,16.7781,0.93,0.1102
TIC 261062915,261062915,0.4615,0.0014,0.0481
TIC 393944916,393944916,19.5805,1.5575,0.1964
TIC 262874982,262874982,1.8233,0.0218,0.1211
TIC 344901225,344901225,9.5574,0.4452,0.3777
TIC 351684285,351684285,19.3425,1.4995,0.0663
TIC 436635454,436635454,14.4587,0.6882,0.2008
TIC 138798618,138798618,2.7578,0.0334,1.3231
TIC 101808114,101808114,1.2274,0.0043,2.6333
TIC 332024027,332024027,19.2133,1.4797,0.1722
GAIA DR3 3309956850635519488,245873351,9.3919,0.2279,0.3873
TIC 303338373,303338373,22.8957,2.9639,0.1252
TIC 447627658,447627658,11.9169,0.813,0.1899
