,star_name,gaiadr3,HD,logRHK
481,TIC 390692143,3709422000670924288,112099,-4.610
482,TIC 319462683,3626268998574790656,112758,-5.000
483,TIC 229047482,6187271616797377536,113194,-4.670
484,TIC 154874920,1728599752525089280,115675,
485,TIC 198106000,1555608537246020096,113827,
486,TIC 166006341,1468036318743647744,,
487,TIC 381726125,3729017810434416128,114174,-4.945
488,TIC 415843217,3504677100035314688,114260,-4.915
489,TIC 390693415,3732674373792211456,,
490,TIC 124306858,6166971574132849664,114386,-4.835
491,TIC 124403080,6182398370808620032,114747,
492,TIC 157272202,1566224665609504256,115043,-4.447
493,TIC 287609748,6088054505011960832,114853,-4.890
494,TIC 383473544,5765846127180770304,113283,-4.630
495,TIC 373765355,3936909723803146240,115404,-4.508
496,TIC 335636504,3607932305719586816,,
497,TIC 393713800,3712538708114516992,116442,-4.950
498,TIC 393713801,3712538811193759744,116443,-4.965
499,TIC 159190692,1565867461768654336,116956,-4.340
500,TIC 355916910,1665517334465010432,117043,
501,TIC 58465153,6193280031230266368,116858,-4.760
502,TIC 58493240,6193279279612174336,116920,-4.880
503,TIC 71594657,1473439868638815232,117099,
504,TIC 95473936,3740176925743994880,117176,-5.125
505,TIC 378993741,3719665845564967424,117936,-4.600
506,TIC 321439183,1469230212276302080,118096,-4.510
507,TIC 659763,3630092241022731264,118100,-3.980
508,TIC 73494569,1471777269618346240,,
509,TIC 286946484,1558718059209082880,119124,-4.340
510,TIC 101969923,6164998500516763648,118972,-4.398
511,TIC 141816239,1562668432688194560,119332,
512,TIC 61110114,3661492609484469248,119291,-4.560
513,TIC 22903436,1496734362502944512,,
514,TIC 295680935,3633065148665344512,,
515,TIC 390730327,3725115471868588032,119802,-4.500
516,TIC 30175417,6171492113110925312,120036,-4.520
517,TIC 359220741,1451450048399808512,120476,-4.440
518,TIC 437325588,6288325222245417984,120467,-4.750
519,TIC 77549396,3837746380705638400,,
520,TIC 241655722,6065158377962553344,120491,-4.610
521,TIC 219038788,1510834911934401024,234078,-4.440
522,TIC 241682179,6093381604489726976,120780,-4.810
523,TIC 258061897,1451877517904263680,121131,-5.070
524,TIC 395744004,5790016416422917120,120744,-4.930
525,TIC 458457378,1230894097540612096,121560,-4.920
526,TIC 115110801,1250801855073489408,122120,-4.620
527,TIC 308311310,6303961686341505024,124106,-4.625
528,TIC 173106845,1453180404823191040,124642,-4.330
529,TIC 168747453,1505214930047542784,,
530,TIC 413356994,5866992641380992000,125072,-4.920
531,TIC 180030300,6104435819513399296,125595,-4.850
532,TIC 156641715,1284721994948665344,,
533,TIC 127382459,6099000589942631424,,
534,TIC 286992966,1480314599451475712,127506,-4.600
535,TIC 357373129,1605198298364601088,128165,-4.740
536,TIC 311069416,1610729219809525760,128332,
537,TIC 409375180,1287752248996223488,,
538,TIC 16855,6223838830917236736,128356,-4.730
539,TIC 421472503,5848156426657892352,128020,-4.710
540,TIC 186579346,5891531404470141952,128674,-4.907
541,TIC 466493185,6286606170175267840,128987,-4.380
542,TIC 402180616,5793182631952977920,128400,-4.527
543,TIC 345292151,1241547437501423872,,
544,TIC 451366293,5904539176758763520,129642,-5.130
545,TIC 450354414,1185619988280226816,130004,-4.810
